company,rank,revenue,profit,num. of employees,Market Cap
Ametek,563,5546.5,990.1,18500,30787.3
Monster Beverage,564,5541.4,1377.5,3775,42295.8
Sealed Air,565,5533.8,506.8,16500,9920.7
NOV,566,5524,-250,27043,7700.2
Las Vegas Sands,567,5505,-961,44600,29696.4
Martin Marietta Materials,568,5493.2,702.5,10000,24015.1
Marathon Oil,569,5467,946,1531,18349.5
Mattel,570,5457.7,903,36300,7823.3
Microchip Technology,571,5438.4,349.4,19500,41777.1
Harley-Davidson,572,5336.3,650,5800,6062.9
Telephone & Data Systems,573,5329,156,8800,2163.4
ADT,574,5307.1,-340.8,25000,6843
